-40c 233.15k -40f
-38.8889c 234.261k -38f
-37.7778c 235.372k -36f
-36.6667c 236.483k -34f
-35.5556c 237.594k -32f
-34.4444c 238.706k -30f
-33.3333c 239.817k -28f
-32.2222c 240.928k -26f
-31.1111c 242.039k -24f
-30c 243.15k -22f
-28.8889c 244.261k -20f
-27.7778c 245.372k -18f
-26.6667c 246.483k -16f
-25.5556c 247.594k -14f
-24.4444c 248.706k -12f
-23.3333c 249.817k -10f
-22.2222c 250.928k -8f
-21.1111c 252.039k -6f
-20c 253.15k -4f
-18.8889c 254.261k -2f
-17.7778c 255.372k 0f
-16.6667c 256.483k 2f
-15.5556c 257.594k 4f
-14.4444c 258.706k 6f
-13.3333c 259.817k 8f
-12.2222c 260.928k 10f
-11.1111c 262.039k 12f
-10c 263.15k 14f
-8.88889c 264.261k 16f
-7.77778c 265.372k 18f
-6.66667c 266.483k 20f
-5.55556c 267.594k 22f
-4.44444c 268.706k 24f
-3.33333c 269.817k 26f
-2.22222c 270.928k 28f
-1.11111c 272.039k 30f
0c 273.15k 32f
1.11111c 274.261k 34f
2.22222c 275.372k 36f
3.33333c 276.483k 38f
4.44444c 277.594k 40f
5.55556c 278.706k 42f
6.66667c 279.817k 44f
7.77778c 280.928k 46f
8.88889c 282.039k 48f
10c 283.15k 50f
